order,machine,gt
• date005 item1177 104092 0 65,"• machine32 10.0
• machine06 11.04
• machine05 16.0
• machine19 18.45
• machine33 10.33","• machine05 12
• machine06 1
• machine19 6
• machine32 26
• machine33 20"
• date005 item1221 10156 0 42,"• machine28 2.55
• machine23 2.96
• machine14 2.32
• machine21 2.27
• machine22 2.77
• machine30 2.57
• machine09 2.56
• machine33 5.67
• machine08 2.85","• machine09 1
• machine14 3
• machine21 2
• machine23 1
• machine28 3
• machine30 1
• machine33 3"
• date005 item1338 6498 0 1,• machine04 1.0,• machine04 1
• date005 item16 52115 0 13,• machine28 6.67,
• date005 item1786 179208 0 34,"• machine20 17.0
• machine05 17.0",
• date005 item1834 86821 1 3,• machine09 7.83,• machine09 3
• date005 item1936 6498 0 1,• machine08 1.76,
• date005 item2016 52115 1 10,"• machine29 3.34
• machine08 7.64","• machine08 3
• machine29 7"
• date005 item2197 43171 0 9,"• machine05 9.67
• machine21 8.67
• machine33 8.83
• machine20 9.67",
• date005 item2309 6498 0 6,• machine08 3.0,• machine08 6
• date005 item2312 52115 1 13,• machine10 6.67,• machine10 13
• date005 item2446 6498 1 7,• machine23 3.5,• machine23 7
• date005 item2465 179208 0 40,"• machine03 50.0
• machine16 30.0","• machine03 19
• machine16 21"
• date005 item262 8416 0 3,"• machine30 2.97
• machine07 3.19
• machine15 2.75
• machine34 2.84
• machine10 3.0
• machine22 3.04
• machine31 3.25","• machine10 1
• machine31 1"
• date005 item269 8416 0 14,"• machine24 2.67
• machine35 2.28
• machine30 2.55
• machine25 2.5
• machine31 2.5
• machine15 2.5
• machine07 2.45","• machine24 1
• machine30 1"
• date005 item2701 8493 0 16,"• machine10 6.8
• machine28 2.0","• machine10 12
• machine28 4"
• date005 item2907 7149 0 7,• machine14 3.83,
• date005 item2918 6498 0 1,• machine28 1.61,• machine28 1
• date005 item2982 6498 0 2,• machine21 2.0,• machine21 2
• date005 item2985 7149 0 7,"• machine10 5.33
• machine21 2.32",
• date005 item3073 12881 0 4,• machine23 4.71,
• date005 item3164 8416 0 12,"• machine28 1.33
• machine21 2.06
• machine09 1.83
• machine23 2.34
• machine08 2.31
• machine10 2.67
• machine22 2.67","• machine08 1
• machine09 1
• machine10 3
• machine21 2
• machine22 2
• machine23 1
• machine28 2"
• date005 item3252 6332 0 2,"• machine30 3.32
• machine28 1.42
• machine08 2.82
• machine21 2.0",
• date005 item3371 17612 0 31,"• machine09 5.14
• machine30 8.0
• machine21 5.1
• machine14 4.0
• machine08 4.88
• machine28 5.0","• machine08 2
• machine09 2
• machine14 1
• machine21 2
• machine28 3
• machine30 1"
• date005 item3445 7149 0 7,• machine21 3.71,• machine21 7
• date005 item3455 27256 0 16,"• machine28 2.46
• machine08 3.5
• machine10 3.25","• machine08 1
• machine28 1"
• date005 item3527 6498 0 1,• machine21 2.5,• machine21 1
• date005 item3682 179208 0 89,• machine06 44.5,• machine06 1
• date005 item3746 6498 1 5,• machine29 2.63,• machine29 5
• date005 item3756 103554 0 9,"• machine09 10.0
• machine32 8.0",
• date005 item3947 77242 0 14,• machine04 7.33,• machine04 14
• date005 item3983 145749 0 182,"• machine20 11.75
• machine33 14.62
• machine01 5.0
• machine32 13.64
• machine19 21.0
• machine03 5.0
• machine06 4.5
• machine05 18.77","• machine01 2
• machine03 1
• machine05 4
• machine06 10
• machine19 7
• machine20 8
• machine32 9
• machine33 7"
• date005 item4031 179208 0 46,• machine06 46.0,
• date005 item4133 179208 1 16,• machine20 16.0,• machine20 16
• date005 item4136 27256 0 12,"• machine10 2.82
• machine28 1.0
• machine34 3.82","• machine10 3
• machine28 3
• machine34 6"
• date005 item4248 8416 0 42,"• machine10 3.5
• machine08 3.71
• machine21 3.41
• machine30 3.97
• machine23 3.5
• machine28 3.27
• machine29 3.75","• machine08 4
• machine21 11
• machine23 2
• machine28 4
• machine29 9
• machine30 13"
• date005 item4583 12834 0 4,"• machine30 5.41
• machine28 3.5
• machine09 4.72
• machine14 3.46
• machine04 4.0
• machine21 4.49
• machine10 3.5
• machine08 5.33
• machine22 4.82",
• date005 item4609 6498 1 2,• machine10 2.0,• machine10 2
• date005 item4645 6332 0 3,"• machine29 3.3
• machine23 3.64
• machine22 4.14
• machine08 2.5","• machine08 1
• machine22 1
• machine23 1"
• date005 item4661 6498 1 8,"• machine10 2.83
• machine23 2.0","• machine10 7
• machine23 1"
• date005 item4730 6498 0 5,"• machine28 2.67
• machine30 3.17","• machine28 2
• machine30 3"
• date005 item4838 27256 0 7,"• machine22 2.25
• machine31 2.76
• machine35 3.0","• machine22 3
• machine31 3
• machine35 2"
• date005 item4855 17612 0 5,"• machine28 6.42
• machine09 1.5
• machine10 8.45
• machine23 5.67
• machine29 5.0","• machine09 2
• machine10 1
• machine23 1
• machine29 2"
• date005 item5024 6498 0 2,"• machine23 1.07
• machine29 3.09",
• date005 item5047 6498 1 4,"• machine28 1.17
• machine23 1.76","• machine23 2
• machine28 2"
• date005 item5577 179208 0 12,• machine23 12.97,
• date005 item5799 6498 0 3,"• machine04 1.5
• machine30 2.57",
• date005 item590 40772 1 29,"• machine08 8.0
• machine07 6.27
• machine14 7.12
• machine31 8.17","• machine07 7
• machine08 11
• machine14 8
• machine31 3"
• date005 item6037 14901 0 62,"• machine20 9.35
• machine10 2.0
• machine14 6.52
• machine32 4.98
• machine21 6.55
• machine33 4.32","• machine10 9
• machine14 14
• machine20 1
• machine21 6
• machine32 9
• machine33 22"
• date005 item6099 6498 0 5,"• machine09 4.0
• machine28 1.0",
• date005 item6305 6498 0 1,• machine30 1.2,• machine30 1
• date005 item6441 23912 1 5,"• machine23 6.02
• machine22 6.4
• machine21 5.5
• machine35 6.02
• machine28 5.81
• machine07 5.97
• machine34 4.73
• machine08 5.87
• machine30 5.75
• machine09 5.59
• machine14 5.19","• machine09 1
• machine28 1
• machine30 1"
• date005 item6610 6516 0 36,"• machine22 2.8
• machine28 3.83
• machine14 3.6
• machine21 4.5
• machine30 3.42
• machine08 3.7","• machine08 2
• machine14 2
• machine21 2
• machine22 1"
• date005 item975 6332 0 9,"• machine30 0.82
• machine15 3.0
• machine10 3.0
• machine08 3.52",
• date006 item1215 35139 0 7,"• machine07 6.02
• machine31 7.32
• machine20 6.69
• machine22 5.83
• machine34 6.49
• machine32 5.0
• machine08 7.5
• machine04 8.35
• machine14 7.02
• machine35 7.18
• machine09 7.84
• machine03 9.0
• machine28 7.27","• machine03 1
• machine07 1
• machine08 1
• machine09 1
• machine14 1
• machine31 1
• machine32 1
• machine34 1"
• date006 item1255 179208 0 15,"• machine20 14.0
• machine05 15.89
• machine04 17.94","• machine04 7
• machine05 4
• machine20 4"
• date006 item1267 179208 1 10,"• machine21 10.0
• machine30 11.57","• machine21 5
• machine30 5"
• date006 item1524 104092 0 76,"• machine19 12.17
• machine33 13.0
• machine32 13.18
• machine03 18.33
• machine01 20.0","• machine01 1
• machine03 3
• machine19 6
• machine32 4
• machine33 2"
• date006 item1526 17118 1 45,"• machine08 7.08
• machine31 6.75
• machine33 7.34
• machine32 7.76
• machine09 6.79
• machine01 6.0
• machine21 6.45","• machine01 9
• machine08 8
• machine09 8
• machine21 4
• machine31 5
• machine32 3
• machine33 8"
• date006 item1671 6498 0 4,• machine08 2.3,
• date006 item183 86821 0 7,"• machine10 8.0
• machine21 7.5",
• date006 item1837 6498 1 1,• machine08 3.42,• machine08 1
• date006 item1887 104092 0 264,"• machine05 28.0
• machine32 20.33
• machine19 28.0
• machine03 28.0
• machine06 28.0","• machine03 14
• machine05 8
• machine06 10
• machine19 5
• machine32 18"
• date006 item2032 8065 1 2,• machine29 4.0,• machine29 2
• date006 item206 18691 0 10,• machine31 5.2,• machine31 10
• date006 item2070 179208 0 40,• machine04 40.0,• machine04 2
• date006 item2181 18691 1 5,• machine28 5.0,• machine28 5
• date006 item2258 6498 0 1,• machine21 1.0,• machine21 1
• date006 item2293 6498 0 3,• machine28 1.83,
• date006 item2441 179208 0 47,"• machine03 5.0
• machine33 22.33
• machine32 20.0","• machine03 3
• machine32 2
• machine33 2"
• date006 item2486 52115 0 6,• machine20 6.25,• machine20 6
• date006 item2559 6498 0 2,• machine28 1.32,• machine28 2
• date006 item2576 12881 0 4,• machine28 4.67,• machine28 4
• date006 item2671 179208 0 18,• machine20 36.0,• machine20 18
• date006 item2746 86821 0 8,• machine05 8.0,
• date006 item3287 6498 0 2,"• machine23 1.42
• machine10 1.99","• machine10 1
• machine23 1"
• date006 item3404 6498 0 5,• machine21 2.5,
• date006 item3488 52115 1 5,• machine28 5.67,• machine28 5
• date006 item3570 179208 0 10,• machine23 10.0,
• date006 item3594 17409 0 20,"• machine08 5.07
• machine23 5.61
• machine10 5.12
• machine21 5.04","• machine10 4
• machine21 2
• machine23 14"
• date006 item3629 8065 1 8,• machine23 4.18,• machine23 8
• date006 item3788 6498 0 1,• machine21 1.0,• machine21 1
• date006 item3806 8065 0 4,• machine10 4.0,• machine10 4
• date006 item381 6332 0 1,"• machine30 0.67
• machine08 2.32
• machine21 1.47
• machine10 0.83",
• date006 item3855 14698 0 42,"• machine31 6.52
• machine20 5.5
• machine29 5.57
• machine04 5.88","• machine04 16
• machine20 16
• machine29 1
• machine31 9"
• date006 item4058 6516 0 1,"• machine09 1.17
• machine30 0.44
• machine21 0.93
• machine08 1.21
• machine32 1.13",
• date006 item4377 6498 0 5,• machine34 2.6,
• date006 item4752 98424 1 10,"• machine33 45.0
• machine08 7.9
• machine29 4.93
• machine30 5.37
• machine09 6.67
• machine05 7.72
• machine22 6.54
• machine32 7.67
• machine23 5.97
• machine10 6.17
• machine14 6.75","• machine05 1
• machine08 1
• machine09 1
• machine22 2
• machine23 1
• machine29 1
• machine30 1
• machine33 1"
• date006 item4794 41077 0 100,"• machine10 8.0
• machine21 9.0
• machine09 9.69
• machine35 8.32
• machine14 8.83
• machine28 8.0","• machine09 7
• machine10 22
• machine14 17
• machine21 13
• machine28 34
• machine35 7"
• date006 item4829 77242 1 14,• machine23 7.03,• machine23 14
• date006 item4957 6516 0 7,"• machine22 0.75
• machine10 2.16
• machine30 0.95
• machine09 4.29
• machine28 1.17","• machine09 1
• machine10 1
• machine22 1
• machine28 3
• machine30 1"
• date006 item5048 6498 0 3,• machine23 1.77,• machine23 3
• date006 item551 13140 0 10,• machine30 5.27,
• date006 item5766 6332 0 2,"• machine29 1.65
• machine18 4.0
• machine08 1.55
• machine21 2.67",
• date006 item5777 37525 1 7,"• machine09 8.25
• machine07 5.72
• machine22 8.2
• machine10 7.83
• machine28 7.09
• machine14 6.58
• machine08 7.64
• machine30 5.23
• machine21 7.26","• machine07 1
• machine09 1
• machine10 1
• machine14 1
• machine21 1
• machine30 1"
• date006 item5813 179208 0 104,"• machine01 9.0
• machine06 24.0
• machine16 71.15","• machine01 20
• machine06 65
• machine16 19"
• date006 item5830 25486 0 82,"• machine31 6.5
• machine10 6.95
• machine29 4.4
• machine23 1.67
• machine33 7.17
• machine09 5.71
• machine28 3.67
• machine35 7.5
• machine21 2.87","• machine09 5
• machine10 3
• machine21 6
• machine23 6
• machine29 5
• machine33 7
• machine35 4"
• date006 item5834 179208 0 6,• machine20 13.22,
• date006 item5975 27256 0 12,"• machine09 2.07
• machine10 2.35
• machine23 2.17","• machine09 3
• machine10 5
• machine23 5"
• date006 item6128 6498 0 3,"• machine21 1.27
• machine01 2.0",
• date006 item6297 15015 0 23,"• machine29 6.55
• machine30 5.87
• machine23 6.16
• machine35 6.17","• machine29 2
• machine30 1"
• date006 item6354 10156 1 3,"• machine32 3.67
• machine08 4.29
• machine33 4.96
• machine22 2.0
• machine30 2.11
• machine21 2.85
• machine14 3.85
• machine23 3.0
• machine35 4.07",
• date006 item6368 27256 0 12,"• machine10 2.15
• machine28 1.98
• machine23 3.0","• machine10 5
• machine23 2
• machine28 5"
• date006 item6374 29252 0 4,"• machine21 4.0
• machine30 3.67
• machine10 5.31",
• date006 item6393 8416 0 17,"• machine28 2.32
• machine30 2.15
• machine21 2.07
• machine06 5.0
• machine23 2.33
• machine09 2.72
• machine10 2.32","• machine06 5
• machine09 1
• machine10 1
• machine21 3
• machine23 5
• machine28 2
• machine30 1"
• date006 item646 104092 0 68,"• machine10 10.44
• machine04 11.59
• machine23 10.1
• machine34 13.96
• machine20 15.0
• machine05 9.0","• machine04 1
• machine05 1
• machine10 2
• machine20 4
• machine23 4
• machine34 5"
• date006 item6554 179208 0 54,"• machine03 38.0
• machine19 16.55",• machine03 1
• date006 item886 6983 0 13,"• machine09 3.37
• machine34 4.07
• machine30 3.67
• machine23 3.82","• machine09 4
• machine23 3
• machine30 5
• machine34 1"
• date006 item937 52115 0 12,"• machine21 6.72
• machine35 6.6","• machine21 9
• machine35 3"
• date007 item1122 10156 0 23,"• machine10 3.83
• machine08 3.98
• machine09 2.57
• machine23 4.13
• machine21 1.81
• machine30 2.27
• machine14 2.21
• machine35 2.65
• machine28 4.02","• machine08 2
• machine09 4
• machine10 2
• machine14 3
• machine21 3
• machine23 3
• machine28 1
• machine30 1
• machine35 4"
• date007 item1266 41210 1 7,"• machine33 1.27
• machine21 1.11
• machine05 2.4
• machine09 40.0
• machine32 2.59
• machine08 1.67
• machine31 1.52","• machine08 2
• machine09 1
• machine31 2
• machine33 1"
• date007 item1441 8493 0 4,"• machine15 3.75
• machine12 5.25","• machine12 2
• machine15 2"
• date007 item1475 43937 0 8,"• machine22 7.87
• machine23 12.0
• machine09 7.5
• machine30 7.62","• machine09 2
• machine22 2
• machine23 2
• machine30 2"
• date007 item1760 179208 1 198,"• machine19 68.18
• machine06 65.0
• machine16 65.0","• machine06 99
• machine16 28
• machine19 71"
• date007 item1807 179208 1 180,• machine19 90.0,• machine19 180
• date007 item1842 6498 0 1,• machine08 2.0,• machine08 1
• date007 item2049 179208 0 20,• machine21 10.0,• machine21 20
